"trackid","artistname","tracknumber","duration","artistid","tracktitle","releasetitle","releaseid"
152692,"Commodores",6,226,1333,"Still","Back To Front",14660
152697,"Lionel Richie",11,250,237,"Hello","Back To Front",14660
152700,"Lionel Richie",14,190,237,"Stuck On You","Back To Front",14660
157768,"Dire Straits",4,253,1486,"Six Blade Knife","Dire Straits",15069
157792,"Dire Straits",5,509,1486,"Why Worry?","Brothers In Arms",15071
157794,"Dire Straits",7,279,1486,"The Man's Too Strong","Brothers In Arms",15071
157900,"Marvin Gaye",3,230,27,"Flyin' High (In The Friendly Sky)","What's Going On",15079
158073,"Nine Inch Nails",5,373,7338,"Closer","The Downward Spiral",15093
158175,"ABC",8,318,297,"All Of My Heart","The Lexicon Of Love",15102
158188,"Sting",10,279,71,"Shape Of My Heart","Ten Summoner's Tales",15103
158726,"Mary J. Blige",3,270,43,"Real Love","What's The 411?",15155
158761,"Papa Roach",2,200,353,"Last Resort","Infest",15160
159914,"Tupac",4,238,1439,"Ghetto Gospel","Loyal To The Game",15301
160939,"Vangelis",7,234,6309,"Theme From Antarctica","Themes",15376
160946,"Vangelis",14,211,6309,"Chariots Of Fire","Themes",15376
161173,"The Orb",205,1127,28,"A Huge Ever Growing Pulsating Brain That Rules From The Centre Of The Ultraworld","Adventures Beyond The Ultraworld",15400
161518,"Bryan Adams",6,225,1428,"Only The Strong Survive","Into The Fire",15425
161883,"Smash Mouth",2,186,1447,"I'm A Believer","Shrek",15453
162422,"The Rasmus",10,197,104,"Funeral Song","Dead Letters",15491
162658,"Rob Zombie",9,223,10941,"Dragula","Greatest Hits: Past, Present &amp; Future",15508
163125,"Marilyn Manson",11,257,827,"User Friendly","Mechanical Animals",15540
163291,"Sting",2,286,71,"Desert Rose","Brand New Day",15551
163378,"Bryan Adams",4,213,1428,"Summer Of '69","The Best Of Me",15556
163383,"Bryan Adams",9,250,1428,"Cloud Number Nine","The Best Of Me",15556
163384,"Bryan Adams",10,394,1428,"(Everything I Do) I Do It For You","The Best Of Me",15556
163387,"Bryan Adams",13,353,1428,"Please Forgive Me","The Best Of Me",15556
